sid,family_id,class_name,y,exec_bytes,first_stop_offset,region_bytes,near_empty,whole_body,no_stop,stop_at_final_byte,feature_nnz,feature_l1,features_finite,oof_score_first_stop_full
bnb:0x4531b4c0cb8a36eb4418e2f6c1a6019a811f9d55,F01108,benign_cleared,0,7707,489.0,490,False,False,False,False,146,819.1177368164062,True,0.1798897534608841
bnb:0xca11bde05977b3631167028862be2a173976ca11,F00724,benign_cleared,0,3755,,3755,False,True,True,False,502,6888.25830078125,True,9.250039147445932e-05
bnb:0x74b077bf27bfa83fa672d4012965a3111a985921,F00889,benign_cleared,0,2882,,2882,False,True,True,False,461,5304.34375,True,0.00011523230205057189
bnb:0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,F01127,benign_cleared,0,16382,82.0,83,False,False,False,False,61,146.56019592285156,True,0.007599425967782736
bnb:0x17131f2e7923803cab26d33b8b9f266abb37ac10,F01128,benign_cleared,0,7011,297.0,298,False,False,False,False,112,575.2484741210938,True,0.0021924618631601334
bnb:0x3af2b646b087ed04a81de74a2fa6ef67553f7b26,F01129,benign_cleared,0,1776,60.0,61,False,False,False,False,49,126.53809356689453,True,9.497782593825832e-05
bnb:0x1f69133a18da70502c893aeb468da6b6a771cb45,F01130,benign_cleared,0,411,65.0,66,False,False,False,False,63,139.3809356689453,True,0.0009959579911082983
bnb:0xf1ddf849f30f408bf7004c7872f8e8fe775c60f0,F00664,benign_cleared,0,2662,,2662,False,True,True,False,470,5181.00439453125,True,7.706705946475267e-05
bnb:0x49de95eee435811b83c82e550ab5c99436b57dfc,F00041,benign_cleared,0,4597,61.0,62,False,False,False,False,47,126.56560516357422,True,4.875208469456993e-05
bnb:0x34bcc321c391fb3511e5bcca73538dec072354bc,F01131,benign_cleared,0,1113,65.0,66,False,False,False,False,64,139.38095092773438,True,0.0004685519961640239
bnb:0x311d41cd41c037440e49e7fd0556f9522a1943f8,F01132,benign_cleared,0,14193,154.0,155,False,False,False,False,53,305.01556396484375,True,0.0001658652035985142
bnb:0x7c908d9586341952c33ca941f916b083e69ab334,F01133,benign_cleared,0,515,57.0,58,False,False,False,False,55,121.21428680419922,True,0.033268604427576065
bnb:0x1c8993b840301f8019a4a4451830b4eb09c7d20c,F00075,benign_cleared,0,1561,72.0,73,False,False,False,False,79,154.1292266845703,True,0.00010813284461619332
bnb:0x19434b0a37edde55c98c0c96dcdd202add14e14f,F01135,benign_cleared,0,13962,285.0,286,False,False,False,False,55,556.1610107421875,True,0.00029734833515249193
bnb:0xfe488413a9f7939f0343b23b6b2743d9dd22a8d5,F01137,benign_cleared,0,3779,79.0,80,False,False,False,False,45,161.80357360839844,True,0.0012886328622698784
bnb:0xe448be644d5055986c6a74000163aee9181c6818,F00031,benign_cleared,0,3069,61.0,62,False,False,False,False,47,126.56560516357422,True,4.875208469456993e-05
bnb:0x19a5acf54c9f5c47b1a7beec373ceb2e996cba30,F01139,benign_cleared,0,1924,27.0,28,False,False,False,False,39,62.733333587646484,True,0.0008482080302201211
bnb:0x1f423d5851cf05fa31c453f42e6e223d739cde11,F01140,benign_cleared,0,1860,69.0,70,False,False,False,False,51,142.58070373535156,True,0.8577033281326294
bnb:0xaaf1ba54f7b4e9c8504553a2d732684c9a9eb6e4,F00799,benign_cleared,0,2552,72.0,73,False,False,False,False,79,154.1292266845703,True,0.00010005589865613729
