item_id,dependence_cluster_id,dependence_cluster_size,authority_address,creator_address,creator_kind,linkage_evidence
ethereum:0xa2a14d35a30be469d35f247a7ccb5ae0ac37643b,D0071,2,0x89e5e2302a6067775ca34288846f5059bae901be,0x1a9b051e84bd8d43d1bc0ba23fb67e60faeef0d0,EOA,SHARED_AUTHORITY_EOA
ethereum:0xa3ad12a43bf4b110489450f482c5090b617c483d,D0081,1,0xb9b084669988b0b2385eb9770aa16413444f779a,0x3cb6d508ad2160708a0c56f29cd7d3eba5c58e4c,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xa500e90ead096d55b539d9a11b591b20a1ea8abb,D0075,3,0x8e7f31495e490b03656709c0651d13f83f31d22c,0x25559a1235637ea303b08aa937a86de8b928b547,EOA,SHARED_DEPLOYER_EOA
ethereum:0xa5334c601b7e03f2544620a0943a99912c24f02a,D0032,2,0x785bc2484a15dc9a8b644024fc142e8bca1289ae,0xda4ef38498a5e0b950b1afa6723054c7528509e0,EOA,SHARED_AUTHORITY_EOA
ethereum:0xa667a49275d1913b5d9ec51c3475bcdab7375a8b,D0082,1,0x4c31d9ea300543f9c2921b39b606689f80260d1f,0x711dfe98f12f5f0459f3bc4e66303a55b0b4a0cd,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xa7224dbcd420d63535925911915748932abe58b0,D0083,1,0x7e5f4552091a69125d5dfcb7b8c2659029395bdf,0xdeadc53d37a2fd3dc7b327adbd6ca0de2f9e0fb9,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xa845c74344fc9405b1fcf712f04668979573c1bf,D0084,1,0xa796204908263c00f9bfa5b6ac9a232bbe84c074,0x6942ad4112e1200fddf874fda6f9c648b47fe2f6,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xa9bbbf3f380965c1271309a44317711a88077658,D0085,1,0x5f4ad9d0f8f0e9fcaac19c3a0f2527170d1a5120,0x5f4ad9d0f8f0e9fcaac19c3a0f2527170d1a5120,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xab2d1de5424a3b18700b15c0c38fb77cbc549961,D0086,1,0x86f55007bbca77f3b896fb4ad007910cc8e5f751,0xb34fd47bdc979c311830f8162aeda26f4796c758,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xab77f99a308e52adec555e75d1b5e10a1517a4d2,D0087,1,0x9d33385695b7bac246ca0aa4266e9877d9bffad3,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xae0fa4ff1b0e2fd4cd32fddc0f56b0e0c0bd1933,D0088,1,0x4567aae8a0971161b5a0c313d4186d2b3648b08f,0xe110036c6b85914aef7cf7b0714563e176b13be2,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xb0645bf2733ecaddca943c6d1be2ab16363700c7,D0089,2,0xe6d91747ec9eb35da40b5d23224d715bcd9e1e62,0x8863786bebe8eb9659df00b49f8f1eeec7e2c8c1,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0xb174b7ce27fbe1e7b501ad68c657d0d76697725a,D0090,1,0xd79eaf6b910f361ff89d3fa4ca54fc43325db944,0xcc592ef7c86a7e4d8fa6a725b1244bd80133aa52,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xb771198a7568940d7811ff84bf6409fa80a5e4fd,D0091,1,0xe34e1fd01f5d2d5533a586941f22dc8d4894a0d3,0x00b084456d81840fb133d83f03c392dc7cf7777c,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xb7f6a181d589842cd6dfaf39ba54e938f0347613,D0092,1,0x61e8ac0a758afeefbd556f713ecf0a8cbd00288f,0x914d7fec6aac8cd542e72bca78b30650d45643d7,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xb824a8bca07d8951991bc095f0740b73d55b5ab2,D0043,2,0x4c0b4c8e618268b16af1996455996f6550abac6b,0x4c0b4c8e618268b16af1996455996f6550abac6b,CONTRACT,SHARED_AUTHORITY_EOA
