model,sample_id,clean_token_count,flood200_token_count,budget,exceeds_budget
flat_cnn_2048,base:0x8c1583bd63584bfc308858ef8844f3fb1303bc84,1401,3546,2048,True
flat_cnn_2048,base:0x6f7170ef27cc794408de11f784a7b660dc304c3a,1388,3918,2048,True
flat_cnn_2048,base:0x7b69aae7d99b10e93bf9eec64ac1fe367fd6e70d,1035,2646,2048,True
flat_cnn_2048,base:0x4a70c8e1a4319ab5ae982e96eccc1abb8cffa7ef,453,1767,2048,False
flat_cnn_2048,base:0x1b6c7f42d1afa6f43c9a34bf6832ec7dea0965da,467,1047,2048,False
flat_cnn_2048,base:0xfc43015415eb68d8040888aeff6cca11bd42321b,457,1403,2048,False
flat_cnn_2048,base:0x9e36fe6bc9b9a9cd80ab043d98104365c2e628da,1934,5789,2048,True
flat_cnn_2048,base:0x0133f92f2b180083773b5d3e49e42fba05afafa0,382,1104,2048,False
flat_cnn_2048,base:0xb45adf24418900357690db5ff7d8e1a75ab9e14d,2542,10277,2048,True
flat_cnn_2048,base:0xd797e6c7d76178aff6c353c03fdaaace209d3d89,3802,9473,2048,True
flat_cnn_2048,base:0x31338b52d1eecf6d59bb726b72be0c5b1bc0c7b3,2354,7022,2048,True
flat_cnn_2048,base:0xc5041e00ac178b41a51a2e8b9612023e4b9de9cf,1646,3928,2048,True
flat_cnn_2048,base:0x28a703ae0cc0f1d23c99fcc9d23712b06158c5d6,2120,5691,2048,True
flat_cnn_2048,base:0x7beb9241f4a130864e9a8d338ecbe06d896f0c3b,5861,18525,2048,True
flat_cnn_2048,base:0x7fb869f8c8b2c3f71fb9cb9f0452ad2668fd52f4,1646,4777,2048,True
flat_cnn_2048,base:0x7c0658c1e50a9c99b1260aefb2ca2a8324ee5efc,1934,5125,2048,True
flat_cnn_2048,base:0x7f7626e6e13fb1c2b585ca995c150f2f6b55f695,1427,4204,2048,True
flat_cnn_2048,base:0xddf4b7b1cf24e5977ecd13218d9209437c5621ef,1424,3518,2048,True
flat_cnn_2048,base:0xecc2d1e0f0fca05e647bebec63ac95d2798626ad,2437,7610,2048,True
flat_cnn_2048,base:0x7e3a1b48b69184b78c50124e8bbdf6504a2c5a16,103,420,2048,False
flat_cnn_2048,base:0x904ac6ff97d28e1b4f6d37fc0051f810694f014b,147,494,2048,False
flat_cnn_2048,base:0x68913cae817e7e683b8e44bcd7ff42c39e5a336e,1388,2643,2048,True
flat_cnn_2048,base:0xc240e729e3b7d4d1b14df83d85cce9af6ff54574,103,334,2048,False
flat_cnn_2048,base:0x091713460dc9fad1aba98a8f4281c4cc89f301f5,68,272,2048,False
