task,model,seed,fold,threshold,splitter,split
secondary,opcode_xgb,7705,1,0.17884211242198944,StratifiedGroupKFold,family
secondary,opcode_xgb,7705,2,0.07054278999567032,StratifiedGroupKFold,family
secondary,opcode_xgb,7705,3,0.15593905746936798,StratifiedGroupKFold,family
secondary,opcode_xgb,7705,4,0.30592209100723267,StratifiedGroupKFold,family
secondary,opcode_xgb,7706,0,0.2926856577396393,StratifiedGroupKFold,family
secondary,opcode_xgb,7706,1,0.12301725894212723,StratifiedGroupKFold,family
secondary,opcode_xgb,7706,2,0.076968252658844,StratifiedGroupKFold,family
secondary,opcode_xgb,7706,3,0.21838299930095673,StratifiedGroupKFold,family
secondary,opcode_xgb,7706,4,0.13725051283836365,StratifiedGroupKFold,family
secondary,selector_model,7702,0,0.34603646397590637,StratifiedGroupKFold,family
secondary,selector_model,7702,1,0.06108522415161133,StratifiedGroupKFold,family
secondary,selector_model,7702,2,0.18264062702655792,StratifiedGroupKFold,family
secondary,selector_model,7702,3,0.33478355407714844,StratifiedGroupKFold,family
secondary,selector_model,7702,4,0.1827164739370346,StratifiedGroupKFold,family
secondary,selector_model,7703,0,0.28204408288002014,StratifiedGroupKFold,family
secondary,selector_model,7703,1,0.20331721007823944,StratifiedGroupKFold,family
secondary,selector_model,7703,2,0.1528296321630478,StratifiedGroupKFold,family
secondary,selector_model,7703,3,0.21709544956684113,StratifiedGroupKFold,family
secondary,selector_model,7703,4,0.1913030445575714,StratifiedGroupKFold,family
secondary,selector_model,7704,0,0.27335891127586365,StratifiedGroupKFold,family
secondary,selector_model,7704,1,0.0910349190235138,StratifiedGroupKFold,family
secondary,selector_model,7704,2,0.23671025037765503,StratifiedGroupKFold,family
secondary,selector_model,7704,3,0.3246442675590515,StratifiedGroupKFold,family
secondary,selector_model,7704,4,0.20407581329345703,StratifiedGroupKFold,family
secondary,selector_model,7705,0,0.2744124233722687,StratifiedGroupKFold,family
secondary,selector_model,7705,1,0.18741954863071442,StratifiedGroupKFold,family
secondary,selector_model,7705,2,0.2697345018386841,StratifiedGroupKFold,family
secondary,selector_model,7705,3,0.2647978961467743,StratifiedGroupKFold,family
secondary,selector_model,7705,4,0.2118244618177414,StratifiedGroupKFold,family
secondary,selector_model,7706,0,0.1661679595708847,StratifiedGroupKFold,family
secondary,selector_model,7706,1,0.18565039336681366,StratifiedGroupKFold,family
secondary,selector_model,7706,2,0.24719296395778656,StratifiedGroupKFold,family
secondary,selector_model,7706,3,0.3640274107456207,StratifiedGroupKFold,family
secondary,selector_model,7706,4,0.1877666860818863,StratifiedGroupKFold,family
secondary,authguard,7702,0,0.11879990994930267,StratifiedGroupKFold,family
secondary,authguard,7702,1,0.08601825684309006,StratifiedGroupKFold,family
secondary,authguard,7702,2,0.07894174754619598,StratifiedGroupKFold,family
secondary,authguard,7702,3,0.23844322562217712,StratifiedGroupKFold,family
secondary,authguard,7702,4,0.04112726077437401,StratifiedGroupKFold,family
secondary,authguard,7703,0,0.049922335892915726,StratifiedGroupKFold,family
secondary,authguard,7703,1,0.13470174372196198,StratifiedGroupKFold,family
secondary,authguard,7703,2,0.08938287198543549,StratifiedGroupKFold,family
secondary,authguard,7703,3,0.16081734001636505,StratifiedGroupKFold,family
secondary,authguard,7703,4,0.1784517914056778,StratifiedGroupKFold,family
secondary,authguard,7704,0,0.1475345939397812,StratifiedGroupKFold,family
secondary,authguard,7704,1,0.08652734756469727,StratifiedGroupKFold,family
secondary,authguard,7704,2,0.1362580955028534,StratifiedGroupKFold,family
secondary,authguard,7704,3,0.22209015488624573,StratifiedGroupKFold,family
secondary,authguard,7704,4,0.08746892958879471,StratifiedGroupKFold,family
secondary,authguard,7705,0,0.11521078646183014,StratifiedGroupKFold,family
secondary,authguard,7705,1,0.07460667192935944,StratifiedGroupKFold,family
secondary,authguard,7705,2,0.06039673089981079,StratifiedGroupKFold,family
secondary,authguard,7705,3,0.12443038821220398,StratifiedGroupKFold,family
secondary,authguard,7705,4,0.0931006371974945,StratifiedGroupKFold,family
secondary,authguard,7706,0,0.12767775356769562,StratifiedGroupKFold,family
secondary,authguard,7706,1,0.07770931720733643,StratifiedGroupKFold,family
secondary,authguard,7706,2,0.16146592795848846,StratifiedGroupKFold,family
secondary,authguard,7706,3,0.18329955637454987,StratifiedGroupKFold,family
secondary,authguard,7706,4,0.11629372835159302,StratifiedGroupKFold,family
secondary,opcode_rf,7702,0,0.35,StratifiedGroupKFold,random
secondary,opcode_rf,7702,1,0.2966666666666667,StratifiedGroupKFold,random
