model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
bigru,7704,2,1.27339768409729,0.9315889497917287,0.8997298615054571,0.3829460397297086,0.10912250099510254,0.86973489721834,0.9244558571777941,0.10397657598073598,0.6137931034482759,0.06028368794326241,0.8344827586206897,0.09929078014184398,0.9103448275862069,0.1595744680851064
transformer,7704,2,2.8138647079467773,0.6499005301113572,0.8837325179141626,0.6249810691685207,0.434436828511097,0.46018847182350564,0.650354609929078,0.25206545788817114,0.034482758620689655,0.01773049645390071,0.15862068965517243,0.08865248226950355,0.2896551724137931,0.1524822695035461
authguard_seq,7704,2,0.9788439869880676,0.9957193522424782,0.29898503545945065,0.017397521504017008,0.012128831392525897,0.9196881342320966,0.9663731963805332,0.08381521188975945,0.8068965517241379,0.04964539007092199,0.9103448275862069,0.12411347517730496,0.9724137931034482,0.13120567375886524
hist_ngram_xgb,7704,3,2.3831911087036133,,0.8945402542198537,0.5989471410711756,0.3837016939129283,0.8135102417679559,0.9389769758823887,0.08578955048013814,0.021505376344086023,0.0,0.46236559139784944,0.014124293785310734,0.7849462365591398,0.14124293785310735
dense_only,7704,3,2.4777917861938477,0.869076087243413,0.8994962688026984,0.8242276749275336,0.6919505767384957,0.6471271537364931,0.8755543405625418,0.10536370806664883,0.0967741935483871,0.002824858757062147,0.1935483870967742,0.02824858757062147,0.43010752688172044,0.0480225988700565
ngram_only,7704,3,3.2631773948669434,0.9102834458228063,0.8747622517835298,0.7769734645536617,0.49667653566427095,0.8529878281593336,0.9643703298706032,0.05838439303347507,0.16129032258064516,0.002824858757062147,0.6129032258064516,0.02824858757062147,0.9139784946236559,0.05649717514124294
flat_cnn,7704,3,2.394096612930298,0.9403472082534307,0.7263168745329354,0.4573227983951803,0.2444155317620887,0.8828605799644785,0.9567766235344147,0.07094502717883767,0.3118279569892473,0.002824858757062147,0.6129032258064516,0.011299435028248588,0.8172043010752689,0.06779661016949153
bigru,7704,3,0.9162652492523193,0.5959730351757766,0.7519763064999918,0.7280772833977043,0.7041506646563818,0.40929236234180044,0.7272948180547961,0.25752885707567985,0.0,0.00847457627118644,0.053763440860215055,0.025423728813559324,0.26881720430107525,0.06497175141242938
transformer,7704,3,2.293858528137207,0.769148499382407,0.8881671499282594,0.7858362903915522,0.7093300992879302,0.4872171082432044,0.7376830083227022,0.19446452815019546,0.03225806451612903,0.0,0.24731182795698925,0.03672316384180791,0.45161290322580644,0.0847457627118644
authguard_seq,7704,3,2.359729528427124,0.9873767831448226,0.9431943412292754,0.799622314343531,0.040980096622666065,0.9806296544114804,0.9940769090577729,0.019066427758770904,0.6451612903225806,0.002824858757062147,0.7849462365591398,0.002824858757062147,0.978494623655914,0.1016949152542373
