model,seed,fold,condition,length_stratum,n,positives,AUPRC,AUROC
flat_control_16384,7703,2,M0,source_le_2048,243,65,0.9435167496708218,0.9724286949006051
flat_control_16384,7703,3,F200,source_gt_2048,139,32,0.9011069583722641,0.9769275700934579
flat_control_16384,7703,3,F200,source_le_2048,308,61,0.869575202076602,0.9542709232096634
flat_control_16384,7703,3,M0,source_gt_2048,139,32,0.9920244364936792,0.9976635514018691
flat_control_16384,7703,3,M0,source_le_2048,308,61,0.9735881946902425,0.9918364637950489
flat_control_16384,7703,4,F200,source_gt_2048,131,36,0.46089486243619565,0.6409356725146198
flat_control_16384,7703,4,F200,source_le_2048,293,155,0.8909292343437153,0.8696119682094436
flat_control_16384,7703,4,M0,source_gt_2048,131,36,0.7941920715699542,0.9251461988304094
flat_control_16384,7703,4,M0,source_le_2048,293,155,0.9681414327894661,0.9693080878915381
flat_control_16384,7704,0,F200,source_gt_2048,97,20,0.9243737821215443,0.9714285714285714
flat_control_16384,7704,0,F200,source_le_2048,349,132,0.8003866211499165,0.8472280407764279
flat_control_16384,7704,0,M0,source_gt_2048,97,20,0.8732553772523822,0.9785714285714285
flat_control_16384,7704,0,M0,source_le_2048,349,132,0.8925813854608456,0.9346285434995113
flat_control_16384,7704,1,F200,source_gt_2048,161,47,0.7136137080028788,0.8122433743934303
flat_control_16384,7704,1,F200,source_le_2048,285,99,0.8547948963315222,0.9147387857065277
