fold,seed,model,condition,AUPRC,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
1,7704,tc_hard,M3F200,0.5618132206199844,0.22602739726027396,0.051118210862619806,0.5205479452054794,0.19808306709265175,0.6164383561643836,0.2779552715654952
1,7704,tc_hard,adaptive_transfer,0.7854500746680209,0.3150684931506849,0.022364217252396165,0.6301369863013698,0.07987220447284345,0.726027397260274,0.13099041533546327
2,7702,clean,cleanM0,0.8653804590370733,0.3448275862068966,0.009554140127388535,0.5172413793103449,0.041401273885350316,0.5172413793103449,0.044585987261146494
2,7702,clean,F200,0.5750659851383993,0.0,0.0,0.1103448275862069,0.028662420382165606,0.11724137931034483,0.028662420382165606
2,7702,clean,M3F200,0.5836543976461751,0.034482758620689655,0.0,0.12413793103448276,0.025477707006369428,0.12413793103448276,0.03184713375796178
2,7702,clean,adaptive_transfer,0.31360403627192546,0.0,0.009554140127388535,0.034482758620689655,0.041401273885350316,0.034482758620689655,0.044585987261146494
2,7702,ordinary_aug,cleanM0,0.7843964871778498,0.27586206896551724,0.006369426751592357,0.6275862068965518,0.13694267515923567,0.7034482758620689,0.19745222929936307
2,7702,ordinary_aug,F200,0.7168488426928762,0.6344827586206897,0.12420382165605096,0.9310344827586207,0.4872611464968153,0.9586206896551724,0.6592356687898089
2,7702,ordinary_aug,M3F200,0.7073788956808836,0.6482758620689655,0.18789808917197454,0.9724137931034482,0.5987261146496815,0.9862068965517241,0.7420382165605095
2,7702,ordinary_aug,adaptive_transfer,0.8838691870089154,0.35172413793103446,0.006369426751592357,0.903448275862069,0.13694267515923567,0.9586206896551724,0.19745222929936307
2,7702,source_balanced_aug,cleanM0,0.9190968892951127,0.4068965517241379,0.0031847133757961785,0.9172413793103448,0.10191082802547771,0.9517241379310345,0.11464968152866242
2,7702,source_balanced_aug,F200,0.783283855485293,0.041379310344827586,0.0,0.593103448275862,0.06687898089171974,0.6689655172413793,0.10191082802547771
