0x11aeV0x3ff	0x11baB0x3ff
0x2cf2V0x1217V0x3ff	0x2ccfB0x1217B0x3ff
0x2d14V0x1217V0x3ff	0x2cd3B0x1217B0x3ff
0x2d30V0x1217V0x3ff	0x2cd7B0x1217B0x3ff
0x2cebV0x1217V0x3ff	0x2cf7B0x1217B0x3ff
0x2d0dV0x1217V0x3ff	0x2d19B0x1217B0x3ff
0x2d29V0x1217V0x3ff	0x2d35B0x1217B0x3ff
0x2cf2V0x1346V0x3ff	0x2ccfB0x1346B0x3ff
0x2d14V0x1346V0x3ff	0x2cd3B0x1346B0x3ff
0x2d30V0x1346V0x3ff	0x2cd7B0x1346B0x3ff
0x2cebV0x1346V0x3ff	0x2cf7B0x1346B0x3ff
0x2d0dV0x1346V0x3ff	0x2d19B0x1346B0x3ff
0x2d29V0x1346V0x3ff	0x2d35B0x1346B0x3ff
0x2aa0V0xee6V0x3ff	0x2aa8B0xee6B0x3ff
0x2aa4V0xee6V0x3ff	0x2a6fB0xee6B0x3ff
0x2a7eV0xee6V0x3ff	0x2a86B0xee6B0x3ff
0x2a82V0xee6V0x3ff	0x2a21B0xee6B0x3ff
0x2a71V0xee6V0x3ff	0x2a7bB0xee6B0x3ff
0x2b2eV0xf2eV0x3ff	0x2b36B0xf2eB0x3ff
0x2b32V0xf2eV0x3ff	0x2afdB0xf2eB0x3ff
0x2b0cV0xf2eV0x3ff	0x2b14B0xf2eB0x3ff
0x2b10V0xf2eV0x3ff	0x2aafB0xf2eB0x3ff
0x2affV0xf2eV0x3ff	0x2b09B0xf2eB0x3ff
0x2b96V0xf75V0x3ff	0x2b9eB0xf75B0x3ff
0x2b9aV0xf75V0x3ff	0x2b65B0xf75B0x3ff
0x2b74V0xf75V0x3ff	0x2b7cB0xf75B0x3ff
0x2b78V0xf75V0x3ff	0x2b3dB0xf75B0x3ff
0x2b67V0xf75V0x3ff	0x2b71B0xf75B0x3ff
0x2c58V0x10b8V0x3ff	0x2c60B0x10b8B0x3ff
0x2c5cV0x10b8V0x3ff	0x2c27B0x10b8B0x3ff
0x2c36V0x10b8V0x3ff	0x2c3eB0x10b8B0x3ff
0x2c3aV0x10b8V0x3ff	0x2bffB0x10b8B0x3ff
0x2c29V0x10b8V0x3ff	0x2c33B0x10b8B0x3ff
