family_id,n,pos,seq_advantage
F00721,4,0,0.034018264840182555
F00107,3,3,0.0334094368340944
F01071,1,0,0.03310502283105024
F00830,2,0,0.033105022831050226
F00140,3,3,0.03295281582952821
F00110,1,1,0.0326484018264841
F00177,1,1,0.03219178082191787
F00899,1,0,0.031735159817351616
F00075,25,4,0.03169863013698631
F00129,2,2,0.03127853881278542
F00147,1,1,0.03082191780821919
F00799,18,0,0.030618975139523084
F01314,1,0,0.029452054794520566
F01061,1,0,0.02853881278538814
F00036,6,6,0.028310502283105055
F01170,1,0,0.028082191780821913
F00695,5,0,0.026621004566210055
F00088,2,2,0.02648401826484026
F00062,1,1,0.02579908675799092
F01016,1,0,0.025799086757990863
F00835,1,0,0.023972602739726012
F00172,1,1,0.022602739726027443
F00898,1,0,0.021232876712328763
F00020,18,18,0.020497209538305416
F00196,1,1,0.019178082191780743
F00085,3,3,0.017199391171993872
F00114,3,2,0.015144596651445944
F00054,3,1,0.01453576864535768
F00045,1,1,0.014383561643835696
F00966,2,0,0.013926940639269386
F00099,1,1,0.01255707762557079
F01286,1,0,0.012328767123287676
F00717,13,0,0.011011591148577467
F00040,9,3,0.010781329274479976
F01112,1,0,0.008904109589041087
F01040,1,0,0.008447488584474916
F00031,49,29,0.008228496878203338
F01030,1,0,0.006621004566210065
F01122,1,0,0.006164383561643838
F01092,1,0,0.006164383561643838
F00167,1,1,0.005479452054794498
F00978,2,0,0.005022831050228327
F00904,6,0,0.004718417047184162
F01316,2,0,0.0041095890410958735
F01263,3,0,-7.610350076101928e-05
F01104,1,0,-0.0015981735159817378
F00119,2,1,-0.0020547945205479645
F01266,1,0,-0.0020547945205479645
F01010,1,0,-0.0029680365296803624
F01062,3,0,-0.0034246575342465704
F00074,1,1,-0.0038812785388128157
F00069,8,8,-0.005393835616438317
F00142,1,1,-0.005707762557077611
F00778,1,0,-0.006164383561643838
F00049,4,4,-0.006278538812785339
F00183,3,1,-0.006849315068493141
F00793,7,0,-0.007012393998695354
F01111,1,0,-0.008904109589041087
